nama_kabupaten_kota;jenis_kelamin;jumlah_bayi;satuan;tahun
KABUPATEN CIANJUR;LAKI-LAKI;18768;ORANG;2022
KABUPATEN CIANJUR;PEREMPUAN;28091;ORANG;2022
KABUPATEN BANDUNG;LAKI-LAKI;31271;ORANG;2022
KABUPATEN BANDUNG;PEREMPUAN;30509;ORANG;2022
KABUPATEN GARUT;LAKI-LAKI;21062;ORANG;2022
KABUPATEN GARUT;PEREMPUAN;20331;ORANG;2022
KABUPATEN TASIKMALAYA;LAKI-LAKI;14611;ORANG;2022
KABUPATEN TASIKMALAYA;PEREMPUAN;13923;ORANG;2022
KABUPATEN CIAMIS;LAKI-LAKI;9140;ORANG;2022
KABUPATEN CIAMIS;PEREMPUAN;8628;ORANG;2022
KABUPATEN KUNINGAN;LAKI-LAKI;8587;ORANG;2022
KABUPATEN KUNINGAN;PEREMPUAN;8044;ORANG;2022
KABUPATEN CIREBON;LAKI-LAKI;22861;ORANG;2022
KABUPATEN CIREBON;PEREMPUAN;21724;ORANG;2022
KABUPATEN MAJALENGKA;LAKI-LAKI;8712;ORANG;2022
KABUPATEN MAJALENGKA;PEREMPUAN;8420;ORANG;2022
KABUPATEN SUMEDANG;LAKI-LAKI;8652;ORANG;2022
KABUPATEN SUMEDANG;PEREMPUAN;8254;ORANG;2022
KABUPATEN INDRAMAYU;LAKI-LAKI;11851;ORANG;2022
KABUPATEN INDRAMAYU;PEREMPUAN;11764;ORANG;2022
KABUPATEN SUBANG;LAKI-LAKI;12122;ORANG;2022
KABUPATEN SUBANG;PEREMPUAN;11938;ORANG;2022
KABUPATEN PURWAKARTA;LAKI-LAKI;8078;ORANG;2022
KABUPATEN PURWAKARTA;PEREMPUAN;7792;ORANG;2022
KABUPATEN KARAWANG;LAKI-LAKI;20234;ORANG;2022
KABUPATEN KARAWANG;PEREMPUAN;20009;ORANG;2022
KABUPATEN BEKASI;LAKI-LAKI;35152;ORANG;2022
KABUPATEN BEKASI;PEREMPUAN;35532;ORANG;2022
KABUPATEN BANDUNG BARAT;LAKI-LAKI;14975;ORANG;2022
KABUPATEN BANDUNG BARAT;PEREMPUAN;14387;ORANG;2022
KABUPATEN PANGANDARAN;LAKI-LAKI;2800;ORANG;2022
KABUPATEN PANGANDARAN;PEREMPUAN;2716;ORANG;2022
KOTA BOGOR;LAKI-LAKI;8512;ORANG;2022
KOTA BOGOR;PEREMPUAN;8314;ORANG;2022
KOTA SUKABUMI;LAKI-LAKI;2626;ORANG;2022
KOTA SUKABUMI;PEREMPUAN;2432;ORANG;2022
KOTA BANDUNG;LAKI-LAKI;17832;ORANG;2022
KOTA BANDUNG;PEREMPUAN;17533;ORANG;2022
KOTA CIREBON;LAKI-LAKI;2126;ORANG;2022
KOTA CIREBON;PEREMPUAN;2042;ORANG;2022
KOTA BEKASI;LAKI-LAKI;23845;ORANG;2022
KOTA BEKASI;PEREMPUAN;23928;ORANG;2022
KOTA DEPOK;LAKI-LAKI;21752;ORANG;2022
KOTA DEPOK;PEREMPUAN;21314;ORANG;2022
KOTA CIMAHI;LAKI-LAKI;4718;ORANG;2022
KOTA CIMAHI;PEREMPUAN;4640;ORANG;2022
KOTA TASIKMALAYA;LAKI-LAKI;5222;ORANG;2022
KOTA TASIKMALAYA;PEREMPUAN;5163;ORANG;2022
KOTA BANJAR;LAKI-LAKI;1508;ORANG;2022
KOTA BANJAR;PEREMPUAN;1392;ORANG;2022
KABUPATEN BOGOR;LAKI-LAKI;53504;ORANG;2023
KABUPATEN BOGOR;PEREMPUAN;53505;ORANG;2023
KABUPATEN SUKABUMI;LAKI-LAKI;19769;ORANG;2023
KABUPATEN SUKABUMI;PEREMPUAN;19618;ORANG;2023
KABUPATEN CIANJUR;LAKI-LAKI;18780;ORANG;2023
KABUPATEN CIANJUR;PEREMPUAN;18286;ORANG;2023
KABUPATEN BANDUNG;LAKI-LAKI;31637;ORANG;2023
KABUPATEN BANDUNG;PEREMPUAN;30920;ORANG;2023
KABUPATEN GARUT;LAKI-LAKI;21148;ORANG;2023
KABUPATEN GARUT;PEREMPUAN;21152;ORANG;2023
KABUPATEN TASIKMALAYA;LAKI-LAKI;11742;ORANG;2023
KABUPATEN TASIKMALAYA;PEREMPUAN;11757;ORANG;2023
KABUPATEN CIAMIS;LAKI-LAKI;8187;ORANG;2023
KABUPATEN CIAMIS;PEREMPUAN;7717;ORANG;2023
KABUPATEN KUNINGAN;LAKI-LAKI;7921;ORANG;2023
KABUPATEN KUNINGAN;PEREMPUAN;7559;ORANG;2023
KABUPATEN CIREBON;LAKI-LAKI;21023;ORANG;2023
KABUPATEN CIREBON;PEREMPUAN;20815;ORANG;2023
KABUPATEN MAJALENGKA;LAKI-LAKI;8417;ORANG;2023
KABUPATEN MAJALENGKA;PEREMPUAN;8153;ORANG;2023
KABUPATEN SUMEDANG;LAKI-LAKI;7919;ORANG;2023
KABUPATEN SUMEDANG;PEREMPUAN;7925;ORANG;2023
KABUPATEN INDRAMAYU;LAKI-LAKI;12296;ORANG;2023
KABUPATEN INDRAMAYU;PEREMPUAN;12146;ORANG;2023
KABUPATEN SUBANG;LAKI-LAKI;11125;ORANG;2023
KABUPATEN SUBANG;PEREMPUAN;10786;ORANG;2023
KABUPATEN PURWAKARTA;LAKI-LAKI;7963;ORANG;2023
KABUPATEN PURWAKARTA;PEREMPUAN;8102;ORANG;2023
KABUPATEN KARAWANG;LAKI-LAKI;18762;ORANG;2023
KABUPATEN KARAWANG;PEREMPUAN;18721;ORANG;2023
KABUPATEN BEKASI;LAKI-LAKI;38217;ORANG;2023
KABUPATEN BEKASI;PEREMPUAN;37865;ORANG;2023
KABUPATEN BANDUNG BARAT;LAKI-LAKI;13335;ORANG;2023
KABUPATEN BANDUNG BARAT;PEREMPUAN;13342;ORANG;2023
KABUPATEN PANGANDARAN;LAKI-LAKI;2610;ORANG;2023
KABUPATEN PANGANDARAN;PEREMPUAN;2624;ORANG;2023
KOTA BOGOR;LAKI-LAKI;8741;ORANG;2023
KOTA BOGOR;PEREMPUAN;8476;ORANG;2023
KOTA SUKABUMI;LAKI-LAKI;2630;ORANG;2023
KOTA SUKABUMI;PEREMPUAN;2452;ORANG;2023
KOTA BANDUNG;LAKI-LAKI;15845;ORANG;2023
KOTA BANDUNG;PEREMPUAN;15850;ORANG;2023
KOTA CIREBON;LAKI-LAKI;2183;ORANG;2023
KOTA CIREBON;PEREMPUAN;1987;ORANG;2023
KOTA BEKASI;LAKI-LAKI;21420;ORANG;2023
KOTA BEKASI;PEREMPUAN;21489;ORANG;2023
KOTA DEPOK;LAKI-LAKI;21325;ORANG;2023
KOTA DEPOK;PEREMPUAN;21064;ORANG;2023
KOTA CIMAHI;LAKI-LAKI;4653;ORANG;2023
KOTA CIMAHI;PEREMPUAN;4529;ORANG;2023
KOTA TASIKMALAYA;LAKI-LAKI;5230;ORANG;2023
KOTA TASIKMALAYA;PEREMPUAN;5187;ORANG;2023
KOTA BANJAR;LAKI-LAKI;1370;ORANG;2023
KOTA BANJAR;PEREMPUAN;1260;ORANG;2023
